diff_pressure_horizontal,diff_pressure_vertical,diff_pressure_central,time,accel_x,accel_y,accel_z
29.48333359,-1.666666627,276.6333313,4000.006484895058,3.118315458,-3.535048962,12.4924221
37.95000076,-2.200000048,278.7166748,4000.0164849112703,-1.005908251,-4.646337986,19.46612167
40.58333206,-2.516666651,279.7000122,4000.026484927482,1.973496199,1.283730507,17.41658211
39.65000153,1.149999976,280.6000061,4000.0364849436946,0.8430469036,1.072968841,19.46612167
32.61666489,3.349999905,275.1333313,4000.0464849599066,1.65735364,-2.471660376,15.53409767
24.78333282,3.25,269.2000122,4000.056484976119,-2.46208024,-6.088140011,15.49577713
24.51666641,0.1000000015,263.9833374,4000.0664849923314,1.063388705,-3.956572533,9.939331055
30.13333321,2.816666603,261.2333374,4000.0764850085434,1.254990339,0.2299218774,14.43717861
35.88333511,4.849999905,257.7833252,4000.086485024756,3.712280512,-1.757944465,17.66087532
35.46666718,7.466666698,257.8166809,4000.0964850409678,-3.812871218,-5.072651386,19.46612167
31.81666756,9.866666794,262.6833191,4000.10648505718,-2.121987343,-4.967270851,19.46612167
28.66666603,10.03333378,266.6499939,4000.1164850733926,4.004472733,1.278940439,19.46612167
24.31666756,6.866666794,268.2000122,4000.1264850896046,3.103945494,0.7855664492,19.46612167
22.68333244,6.366666794,267.2166748,4000.136485105817,6.02107954,-3.24764657,19.46612167
23.54999924,4.25,267.1833191,4000.146485122029,2.093247175,-6.993457317,17.63692474
21.38333321,4.583333492,264.8999939,4000.1564851382414,6.423442841,-3.415297985,13.94859409
18.46666718,5.116666794,265.7333374,4000.1664851544538,6.768325329,1.245410204,17.37347221
13.0,0.01666666754,263.8166809,4000.1764851706657,4.85710001,-3.02251482,18.67157364
12.5,-1.933333278,267.8500061,4000.186485186878,6.811435699,-4.536167145,19.46612167
22.25,0.05000000075,264.0499878,4000.1964852030906,0.450263679,-2.045346737,19.46612167
32.29999924,1.583333373,265.1833191,4000.2064852193025,6.136040211,1.916015744,19.46612167
36.29999924,1.533333302,268.6499939,4000.216485235515,7.060517788,1.695673943,16.94236946
35.75,1.0,269.1499939,4000.226485251727,0.5748047233,-3.899091959,16.55916595
39.26666641,-0.08333333582,269.8833313,4000.2364852679393,3.994892836,-5.613925934,19.41881943
38.40000153,1.316666722,273.1333313,4000.2464852841517,5.096601963,-0.01437011734,13.64682198
35.01666641,-1.149999976,274.4833374,4000.2564853003637,0.89573735,1.59029305,19.46612167
35.76666641,-1.283333302,272.2999878,4000.266485316576,6.926396847,-2.184257984,17.9291172
36.41666794,2.083333254,271.3166809,4000.276485332788,0.9771680236,-5.944438934,19.46612167
35.43333435,-0.150000006,266.0499878,4000.2864853490005,0.450263679,-2.692002058,19.46612167
41.76666641,-2.516666651,262.25,4000.296485365213,4.330195427,-1.781894565,19.46612167
50.34999847,4.683333397,260.8999939,4000.306485381425,8.78014183,-1.729204178,19.46612167
47.04999924,11.38333321,260.8166809,4000.3164853976373,1.944755912,-4.885839939,19.46612167
41.58333206,14.4333334,257.7000122,4000.3264854138492,6.030659676,-6.998247147,19.46612167
42.83333206,17.95000076,258.6833191,4000.3364854300617,5.417534351,-0.9915381074,19.46612167
45.68333435,23.64999962,259.25,4000.346485446274,3.42487812,0.7568262219,19.46612167
44.63333511,24.53333282,263.1499939,4000.356485462486,6.940766811,-5.891748428,15.87898064
42.75,22.33333397,265.3999939,4000.3664854786985,0.2347119302,-6.02107954,16.96152878
40.68333435,20.71666718,263.4333191,4000.3764854949104,1.911225677,-0.08622070402,19.46612167
39.31666565,22.11666679,264.9166565,4000.386485511123,2.466870308,4.023633003,19.46612167
